主机 IP,主机名,主机状态,业务组,操作系统,系统版本,内核版本,CPU内核数,内存容量,特征,主机备注,整机CPU占用,整机内存占用,内网 IP,外网 IP,主机开机时长
10.110.14.30,TAPI_EDI_dev,online,上海G4.5（数据中心）Linux,openEuler,24.03 (LTS-SP1),6.6.0-72.0.0.76.oe2403sp1.x86_64,8,15.1 GB,[09NotReady],,1.09%,4.41%,10.110.14.30,10.110.14.30,1h14m26s
172.17.60.193,localhost.localdomain,online,上海G5Linux,openEuler,24.03 (LTS-SP3),6.6.0-132.0.0.111.oe2403sp3.x86_64,4,7.3 GB,[09NotReady],,1.25%,5.87%,172.17.60.193,172.17.60.193,168h40m0s
10.120.1.20,WuHuZabbix,online,芜湖Linux,Anolis OS,8.10,5.10.134-18.an8.x86_64,16,15.3 GB,[09NotReady],,1.68%,16.65%,10.120.1.20,10.120.1.20,5137h25m52s
10.120.1.80,tm20_osce,online,芜湖Windows,Windows Server,2019 Standard,10.0.17763.7131 (WinBuild.160101.0800),8,16.0 GB,[09NotReady],,5.28%,40.60%,10.120.1.80,10.120.1.80,5636h22m38s
10.110.16.88,TOTDQTCE15,online,上海G4.5（数据中心）Windows,Windows Server,2019 Standard,10.0.17763.7434 (WinBuild.160101.0800),16,128.0 GB,[09NotReady],,1.25%,3.16%,10.110.16.88,10.110.16.88,49h25m10s
10.110.16.87,TOTDQAE15,online,上海G4.5（数据中心）Windows,Windows Server,2019 Standard,10.0.17763.7434 (WinBuild.160101.0800),32,168.0 GB,[09NotReady],,0.80%,2.76%,10.110.16.87,10.110.16.87,49h25m21s
10.110.16.86,TOTDQTCE14,online,上海G4.5（数据中心）Windows,Windows Server,2019 Standard,10.0.17763.7434 (WinBuild.160101.0800),16,128.0 GB,[09NotReady],,1.42%,3.23%,10.110.16.86,10.110.16.86,49h29m7s
10.110.16.85,TOTDQAE14,online,上海G4.5（数据中心）Windows,Windows Server,2019 Standard,10.0.17763.7434 (WinBuild.160101.0800),32,168.0 GB,[09NotReady],,0.62%,2.82%,10.110.16.85,10.110.16.85,49h29m21s
10.112.64.40,TM19-FacesData01,online,厦门TM19Linux,Anolis OS,8.8,5.10.134-13.an8.x86_64,2,3.6 GB,[09NotReady],,3.82%,21.44%,10.112.64.40,10.112.64.40,10482h49m2s
10.110.18.68,mkoa13,online,上海G4.5（数据中心）Linux,Kylin Linux Advanced Server,V10 (Lance),4.19.90-52.22.v2207.ky10.aarch64,64,254.1 GB,[09NotReady],,0.06%,2.71%,10.110.18.68,10.110.18.68,96h58m7s
172.18.5.172,SHIPFormanager,online,上海G4.5Windows,Windows Server,2008 R2 Standard Service Pack 1,6.1.7601.24499 (win7sp1_ldr.190612-0600),4,4.0 GB,[09NotReady],,2.17%,39.89%,172.18.5.172,172.18.5.172,292h11m17s
172.18.5.25,hostname,online,上海G4.5Windows,,,,0,0.0 B,[09NotReady],,0.00%,0.00%,172.18.5.25,,0s
10.101.8.150,WHG6virtual,online,武汉G6Windows,Windows Server,2016 Standard,10.0.14393.8781 (rs1_release.251224-1746),8,32.0 GB,[09NotReady],,1.33%,10.64%,10.101.8.150,10.101.8.150,157h56m24s
172.25.200.34,XMltpsPrint01,online,厦门LTPSWindows,Windows Server,2019 Standard,10.0.17763.7671 (WinBuild.160101.0800),8,16.0 GB,[09NotReady],,2.08%,24.17%,172.25.200.34,172.25.200.34,432h32m2s
10.110.13.110,peos2,online,上海G4.5（数据中心）Linux,Anolis OS,7.9,5.4.247-1.el7.elrepo.x86_64,16,31.3 GB,[09NotReady],,0.58%,2.60%,10.110.13.110,10.110.13.110,529h55m1s
10.251.1.173,cce-prod2-yisg6,online,上海G4.5（数据中心）Linux,Huawei Cloud EulerOS,2.0 (x86_64),5.10.0-182.0.0.95.r2673_211.hce2.x86_64,16,251.6 GB,[09NotReady],,3.03%,4.44%,10.251.1.173,10.110.62.100,1754h0m23s
172.16.1.103,ecs-zabbixproxy,online,上海G4.5（数据中心）Linux,Anolis OS,8.2,4.19.91-23.4.an8.x86_64,16,31.1 GB,[09NotReady],,0.28%,32.15%,172.16.1.103,10.110.61.62,1247h27m41s
192.168.14.62,ecs-nexus-dev,online,上海OLED（数据中心）Linux,openEuler,22.03 (LTS-SP4),5.10.0-216.0.0.115.oe2203sp4.x86_64,4,7.2 GB,[09NotReady],,48.10%,78.49%,192.168.14.62,10.110.60.107,4244h33m24s
172.16.1.10,pdangan-app,online,上海G4.5（数据中心）Linux,Anolis OS,8.2,4.19.91-23.4.an8.x86_64,16,46.8 GB,[09NotReady],,0.38%,39.82%,172.16.1.10,10.110.61.10,761h18m27s
10.110.13.40,pfams-db,online,上海G4.5（数据中心）Linux,Oracle Linux Server,7.9 (Maipo),5.4.17-2011.6.2.el7uek.x86_64,8,23.5 GB,[09NotReady],,1.48%,58.32%,10.110.13.40,10.110.13.40,881h39m57s
10.110.13.39,pfams-app2,online,上海G4.5（数据中心）Linux,Anolis OS,7.9,5.4.247-1.el7.elrepo.x86_64,8,23.5 GB,[09NotReady],,3.10%,10.06%,10.110.13.39,10.110.13.39,883h29m20s
10.110.13.38,pfams-app1,online,上海G4.5（数据中心）Linux,Anolis OS,7.9,5.4.247-1.el7.elrepo.x86_64,8,23.5 GB,[09NotReady],,1.71%,14.56%,10.110.13.38,10.110.13.38,883h29m18s
10.110.13.37,pfams-ng,online,上海G4.5（数据中心）Linux,Anolis OS,7.9,5.4.247-1.el7.elrepo.x86_64,8,15.6 GB,[09NotReady],,1.83%,6.45%,10.110.13.37,10.110.13.37,883h29m37s
192.168.8.105,cce-dev-90232-3r4se,online,上海G4.5（数据中心）Linux,Huawei Cloud EulerOS,2.0 (x86_64),5.10.0-182.0.0.95.r2673_211.hce2.x86_64,32,125.6 GB,[09NotReady],,2.65%,35.64%,192.168.8.105,10.110.60.36,2039h40m42s
172.28.1.163,WIN-EQIS81H0DEO,online,上海G5Windows,Windows Server,2019 Standard,10.0.17763.107 (WinBuild.160101.0800),2,4.0 GB,[09NotReady],,2.60%,59.61%,172.28.1.163,172.28.1.163,7248h21m13s
10.120.1.58,WUHUYKTPD02,online,芜湖Windows,Windows Server,2019 Standard,10.0.17763.8024 (WinBuild.160101.0800),8,32.0 GB,[09NotReady],,3.64%,14.17%,10.120.1.58,10.120.1.58,1432h48m40s
10.120.1.53,WUHUTestWay,online,芜湖Windows,Windows Server,2016 Standard,10.0.14393.8519 (rs1_release.251008-0341),4,8.0 GB,[09NotReady],,2.47%,24.70%,10.120.1.53,10.120.1.53,92h14m4s
10.120.1.41,WUHUCIM-FLEXSIM,online,芜湖Windows,Windows Server,2016 Standard,10.0.14393.8519 (rs1_release.251008-0341),8,8.0 GB,[09NotReady],,2.46%,62.80%,10.120.1.41,10.120.1.41,2248h16m54s
